id,geopoint,Daylight_savings_time_flag,Timezone,Longitude,Latitude,State,City,Zip
792,"38.893311,-77.014647",1,-5,-77.014647,38.893311,DC,Washington,20035
936,"38.893311,-77.014647",1,-5,-77.014647,38.893311,DC,Washington,20088
1102,"30.449096,-81.65651",1,-5,-81.65651,30.449096,FL,Jacksonville,32218
1438,"26.348354,-80.21841",1,-5,-80.21841,26.348354,FL,Boca Raton,33428
1689,"30.392888,-81.67933",1,-5,-81.67933,30.392888,FL,Jacksonville,32208
1957,"28.012241,-80.67729",1,-5,-80.67729,28.012241,FL,Palm Bay,32907
2225,"29.845122,-82.39845",1,-5,-82.39845,29.845122,FL,La Crosse,32658
2434,"33.762106,-84.17938",1,-5,-84.17938,33.762106,GA,Stone Mountain,30088
2438,"33.725739,-84.21114",1,-5,-84.21114,33.725739,GA,Decatur,30035
2441,"33.633685,-83.98382",1,-5,-83.98382,33.633685,GA,Conyers,30013
2444,"33.786805,-84.437",1,-5,-84.437,33.786805,GA,Atlanta,30318
2450,"33.625894,-84.516327",1,-5,-84.516327,33.625894,GA,Red Oak,30272
2460,"33.817438,-84.13167",1,-5,-84.13167,33.817438,GA,Stone Mountain,30087
2468,"33.86427,-84.41972",1,-5,-84.41972,33.86427,GA,Atlanta,30327
2477,"34.089419,-83.94701",1,-5,-83.94701,34.089419,GA,Buford,30519
2481,"32.110421,-81.24568",1,-5,-81.24568,32.110421,GA,Pooler,31322
2483,"33.582877,-84.26906",1,-5,-84.26906,33.582877,GA,Rex,30273
2485,"33.899381,-84.25367",1,-5,-84.25367,33.899381,GA,Atlanta,30340
2492,"34.306643,-83.82352",1,-5,-83.82352,34.306643,GA,Gainesville,30501
2505,"33.295159,-83.965099",1,-5,-83.965099,33.295159,GA,Jackson,30283
2508,"32.594698,-83.64873",1,-5,-83.64873,32.594698,GA,Warner Robins,31088
2513,"33.844371,-84.47405",1,-5,-84.47405,33.844371,GA,Atlanta,30363
2515,"33.860955,-84.01807",1,-5,-84.01807,33.860955,GA,Snellville,30078
2517,"33.676258,-84.44977",1,-5,-84.44977,33.676258,GA,Atlanta,30344
2521,"33.740055,-84.26791",1,-5,-84.26791,33.740055,GA,Decatur,30032
2524,"33.844371,-84.47405",1,-5,-84.47405,33.844371,GA,Atlanta,30394
2527,"34.097998,-84.6183",1,-5,-84.6183,34.097998,GA,Acworth,30102
2538,"33.844371,-84.47405",1,-5,-84.47405,33.844371,GA,Atlanta,30398
2544,"32.043058,-81.12183",1,-5,-81.12183,32.043058,GA,Savannah,31405
2553,"33.693448,-84.24743",1,-5,-84.24743,33.693448,GA,Decatur,30034
2557,"33.979401,-84.15118",1,-5,-84.15118,33.979401,GA,Duluth,30096
2571,"33.809604,-84.2387",1,-5,-84.2387,33.809604,GA,Clarkston,30021
2575,"33.786755,-84.35149",1,-5,-84.35149,33.786755,GA,Atlanta,30306
2577,"32.479492,-84.90942",1,-5,-84.90942,32.479492,GA,Columbus,31907
2599,"34.022974,-83.83416",1,-5,-83.83416,34.022974,GA,Auburn,30011
2612,"33.769636,-84.74967",1,-5,-84.74967,33.769636,GA,Douglasville,30134
2616,"33.676358,-84.15381",1,-5,-84.15381,33.676358,GA,Lithonia,30038
2617,"33.564711,-84.43987",1,-5,-84.43987,33.564711,GA,Riverdale,30296
2621,"32.460791,-83.73541",1,-5,-83.73541,32.460791,GA,Perry,31069
2636,"33.946735,-84.602",1,-5,-84.602,33.946735,GA,Marietta,30064
2639,"34.052285,-84.68483",1,-5,-84.68483,34.052285,GA,Acworth,30101
2642,"33.811354,-84.28335",1,-5,-84.28335,33.811354,GA,Decatur,30033
2645,"34.228478,-84.50402",1,-5,-84.50402,34.228478,GA,Canton,30114
2655,"33.05413,-84.14862",1,-5,-84.14862,33.05413,GA,Barnesville,30204
2668,"33.844371,-84.47405",1,-5,-84.47405,33.844371,GA,Atlanta,30375
2678,"33.844371,-84.47405",1,-5,-84.47405,33.844371,GA,Atlanta,30348
2681,"33.851736,-84.28412",1,-5,-84.28412,33.851736,GA,Atlanta,30345
2690,"33.750005,-84.31854",1,-5,-84.31854,33.750005,GA,Atlanta,30317
2692,"33.727807,-84.41983",1,-5,-84.41983,33.727807,GA,Atlanta,30310
2694,"33.818304,-84.35779",1,-5,-84.35779,33.818304,GA,Atlanta,30324
2696,"33.015476,-84.32187",1,-5,-84.32187,33.015476,GA,Meansville,30256
2698,"33.772122,-84.26491",1,-5,-84.26491,33.772122,GA,Avondale Estates,30002
2703,"33.40147,-84.46271",1,-5,-84.46271,33.40147,GA,Fayetteville,30215
2709,"33.867574,-84.77103",1,-5,-84.77103,33.867574,GA,Hiram,30141
2711,"31.986249,-81.20259",1,-5,-81.20259,31.986249,GA,Savannah,31419
2723,"33.401827,-84.30152",1,-5,-84.30152,33.401827,GA,Hampton,30228
2725,"33.960353,-84.037859",1,-5,-84.037859,33.960353,GA,Lawrenceville,30046
2728,"33.47875,-84.47668",1,-5,-84.47668,33.47875,GA,Fayetteville,30214
2729,"33.580878,-84.54611",1,-5,-84.54611,33.580878,GA,Union City,30291
2742,"33.718079,-84.92356",1,-5,-84.92356,33.718079,GA,Villa Rica,30180
2743,"33.891251,-84.07456",1,-5,-84.07456,33.891251,GA,Decatur,30036
2745,"34.080035,-84.21929",1,-5,-84.21929,34.080035,GA,Alpharetta,30005
2761,"31.552483,-84.09678",1,-5,-84.09678,31.552483,GA,Albany,31705
2764,"33.853853,-84.22036",1,-5,-84.22036,33.853853,GA,Tucker,30084
2765,"34.032532,-84.31774",1,-5,-84.31774,34.032532,GA,Roswell,30076
